odds_id,game_id,vendor,spread_home_value,spread_home_odds,spread_away_value,spread_away_odds,moneyline_home_odds,moneyline_away_odds,total_value,total_over_odds,total_under_odds,updated_at
38326366,18447191,fanduel,7.5,110,-7.5,-146,-100000.0,-100000.0,224.5,-102.0,-130.0,2025-12-20T02:39:20.154Z
38328247,18447191,betway,2.5,-120,-2.5,-105,1200.0,-10000.0,223.5,-115.0,-110.0,2025-12-20T02:38:26.699Z
38329301,18447191,rebet,-4,-110,4,-110,-171.0,139.0,228.5,-110.0,-110.0,2025-12-19T17:10:46.194Z
38332968,18447191,caesars,8.5,450,-8.5,-700,1400.0,-5000.0,223.5,-115.0,-115.0,2025-12-20T02:38:32.812Z
38341879,18447191,draftkings,5.5,105,-5.5,-135,1400.0,-3500.0,229.5,124.0,-160.0,2025-12-20T02:37:00.306Z
38447116,18447191,betrivers,4.5,-113,-4.5,-121,500.0,-910.0,228,-112.0,-124.0,2025-12-20T02:40:05.290Z
38447226,18447191,ballybet,5,-122,-5,-117,525.0,-1250.0,228,-121.0,-117.0,2025-12-20T02:40:15.256Z
38447352,18447191,betparx,3.5,-122,-3.5,-108,295.0,-435.0,,,,2025-12-20T02:40:35.226Z
38868443,18447191,bet365,9.5,-120,-9.5,-110,750.0,-1400.0,229.5,105.0,-135.0,2025-12-20T02:37:54.764Z
38984998,18447196,fanduel,-7.5,188,7.5,-260,-100000.0,-100000.0,235.5,178.0,-245.0,2025-12-21T02:23:20.290Z
38986120,18447196,caesars,-6.5,-210,6.5,165,-4000.0,1200.0,241.5,-115.0,-115.0,2025-12-21T02:21:30.553Z
38991195,18447196,draftkings,-7.5,-110,7.5,-120,-3200.0,1300.0,240.5,-105.0,-125.0,2025-12-21T02:20:00.354Z
39014390,18447196,betway,-6.5,100,6.5,-125,-5000.0,900.0,243.5,-115.0,-110.0,2025-12-21T02:21:28.590Z
39021147,18447196,betparx,-5,-130,5,-104,-1667.0,700.0,,,,2025-12-21T02:23:35.200Z
39021436,18447196,betrivers,-7,-112,7,-122,-5000.0,1150.0,242.5,-122.0,-113.0,2025-12-21T02:24:05.705Z
39021522,18447196,ballybet,-6,-112,6,-127,-5000.0,800.0,242.5,-124.0,-114.0,2025-12-21T02:24:15.196Z
39679854,18447196,bet365,-7.5,-115,7.5,-115,-10000.0,1700.0,241.5,100.0,-130.0,2025-12-21T02:23:54.716Z
41085221,18447219,fanduel,9.5,-166,-9.5,124,4000.0,-100000.0,221.5,-122.0,-108.0,2025-12-24T02:41:20.134Z
41091533,18447219,draftkings,10.5,-145,-10.5,114,800.0,-1600.0,220.5,100.0,-130.0,2025-12-24T02:40:00.403Z
41098456,18447219,caesars,8.5,-130,-8.5,100,1200.0,-4000.0,222.5,105.0,-135.0,2025-12-24T02:41:30.427Z
41140344,18447219,rebet,11.5,-118,-11.5,-111,1750.0,-3333.0,215.5,-118.0,-111.0,2025-12-24T02:13:45.695Z
41248885,18447219,betparx,11,-129,-11,-105,1200.0,-5000.0,,,,2025-12-24T02:44:35.195Z
41249223,18447219,betrivers,10,-125,-10,-109,1300.0,-10000.0,214,-110.0,-127.0,2025-12-24T02:45:06.230Z
41249351,18447219,ballybet,11.5,-122,-11.5,-117,1300.0,-10000.0,214,-115.0,-122.0,2025-12-24T02:44:15.210Z
41259554,18447219,betway,9.5,-110,-9.5,-115,1200.0,-10000.0,213.5,-120.0,-105.0,2025-12-24T02:41:30.444Z
42016510,18447219,bet365,10.5,-130,-10.5,100,1700.0,-10000.0,216.5,-125.0,-105.0,2025-12-24T02:42:54.737Z
43643465,18447241,fanduel,-6.5,-102,6.5,-130,-20000.0,2200.0,213.5,-130.0,-102.0,2025-12-27T03:07:20.123Z
43650775,18447241,draftkings,-3.5,-120,3.5,-110,-500.0,340.0,218.5,-130.0,100.0,2025-12-27T03:02:00.312Z
43666151,18447241,betrivers,2,-114,-2,-120,-2000.0,800.0,216.5,-122.0,-114.0,2025-12-27T03:09:05.717Z
43666255,18447241,ballybet,3,-129,-3,-112,-5000.0,900.0,217.5,-120.0,-118.0,2025-12-27T03:09:15.165Z
43666400,18447241,betparx,2,-113,-2,-118,-560.0,340.0,,,,2025-12-27T03:09:35.178Z
43678465,18447241,caesars,-7.5,125,7.5,-160,-3000.0,1100.0,217.5,-125.0,-105.0,2025-12-27T03:06:30.415Z
43690406,18447241,rebet,1.5,-125,-1.5,-111,160.0,100.0,221.5,-118.0,-118.0,2025-12-27T03:06:45.631Z
43724363,18447241,betway,2.5,-115,-2.5,-110,-500.0,300.0,218.5,-105.0,-120.0,2025-12-27T03:07:27.344Z
44385291,18447241,bet365,-6.5,-115,6.5,-115,-15000.0,1800.0,217.5,-105.0,-125.0,2025-12-27T03:06:54.719Z
45156967,18447256,fanduel,-24.5,-235,24.5,172,-100000.0,-100000.0,233.5,158.0,-215.0,2025-12-28T22:56:20.117Z
45196336,18447256,betway,-21.5,100,21.5,-125,-10000.0,1200.0,229.5,-110.0,-115.0,2025-12-28T22:55:27.675Z
45198154,18447256,draftkings,-23.5,105,23.5,-135,-50000.0,3500.0,234.5,-115.0,-115.0,2025-12-28T22:53:00.365Z
45212975,18447256,rebet,-23.5,-125,23.5,-111,-10000.0,2200.0,239.5,-111.0,-118.0,2025-12-28T22:55:45.770Z
45217196,18447256,betrivers,-21.5,-107,21.5,-127,-5000.0,1050.0,230.5,-124.0,-113.0,2025-12-28T22:57:05.678Z
45217314,18447256,ballybet,-22,-132,22,-107,-5000.0,1050.0,230,-114.0,-124.0,2025-12-28T22:57:15.172Z
45217465,18447256,betparx,-21.5,-115,21.5,-115,-2500.0,1000.0,,,,2025-12-28T22:57:35.202Z
45226883,18447256,caesars,-24.5,-20000,24.5,3000,-10000.0,2200.0,233.5,3000.0,-20000.0,2025-12-28T22:55:32.842Z
45821464,18447256,bet365,-25.5,-135,25.5,105,-25000.0,2000.0,233.5,-115.0,-115.0,2025-12-28T22:55:54.727Z
46872963,18447272,fanduel,2.5,138,-2.5,-186,1300.0,-5000.0,275.5,114.0,-152.0,2025-12-31T03:50:20.155Z
46891861,18447272,draftkings,2.5,170,-2.5,-220,380.0,-580.0,278.5,-120.0,-110.0,2025-12-31T03:48:00.330Z
46901254,18447272,caesars,2.5,670,-2.5,-1200,1400.0,-5000.0,275.5,290.0,-400.0,2025-12-31T03:50:32.956Z
46906222,18447272,rebet,1.5,-143,-1.5,100,285.0,-182.0,261.5,-111.0,-125.0,2025-12-31T03:49:45.710Z
46983691,18447272,betrivers,4,-114,-4,-120,150.0,-205.0,262.5,-125.0,-110.0,2025-12-31T03:53:05.729Z
